Symptoms,Disease
"back pain, shortness of breath, fatigue, vomiting, anxiety, fever, weight loss,7",Diabetes
"vomiting, tremors, rash, fatigue,4",Obesity
"sore throat, back pain, blurred vision, headache,4",Tuberculosis
"rash, blurred vision, weight loss,3",Hypertension
"muscle pain, abdominal pain, joint pain, vomiting, shortness of breath, nausea,6",Thyroid Disorder
"fatigue, weight gain, appetite loss, swelling, sweating, chest pain,6",Heart Disease
"runny nose, muscle pain, anxiety, back pain, shortness of breath, dizziness,6",Migraine
"vomiting, weight gain, rash, appetite loss, depression, sore throat,6",IBS
"weight gain, muscle pain, chest pain, anxiety, sweating,5",Epilepsy
"fatigue, nausea, appetite loss,3",IBS
"sore throat, vomiting, insomnia, rash,4",Food Poisoning
"dizziness, blurred vision, fever,3",Pneumonia
"appetite loss, dizziness, diarrhea, weight loss, sore throat, joint pain, chest pain,7",Ulcer
"weight loss, shortness of breath, blurred vision,3",Hypertension
"insomnia, swelling, muscle pain, dizziness, sweating, vomiting,6",Dementia
"shortness of breath, muscle pain, fatigue,3",Migraine
"weight gain, joint pain, diarrhea, fever, chest pain,5",Parkinson's
"chest pain, headache, joint pain, cough, weight loss, abdominal pain,6",Common Cold
"sneezing, fatigue, sweating,3",Common Cold
"dizziness, swelling, rash, joint pain, sore throat,5",Chronic Kidney Disease
"joint pain, chest pain, blurred vision,3",Parkinson's
"sweating, rash, anxiety,3",Bronchitis
"headache, fatigue, dizziness,3",Influenza
"vomiting, back pain, appetite loss,3",Diabetes
"shortness of breath, appetite loss, cough,3",Bronchitis
"dizziness, blurred vision, anxiety, appetite loss, joint pain,5",COVID-19
"weight gain, runny nose, fatigue, headache,4",Bronchitis
"depression, runny nose, insomnia, fatigue, abdominal pain, back pain,6",Sinusitis
"shortness of breath, dizziness, swelling, back pain, sneezing, diarrhea,6",Arthritis
"rash, weight loss, sweating,3",Anemia
"blurred vision, sore throat, sneezing, cough,4",Thyroid Disorder
"sweating, joint pain, vomiting, sneezing, fatigue, dizziness,6",Hypertension
"swelling, chest pain, blurred vision, runny nose, depression,5",Epilepsy
"diarrhea, rash, joint pain, runny nose,4",Bronchitis
"vomiting, sore throat, shortness of breath, muscle pain, nausea, insomnia,6",Obesity
"runny nose, fatigue, back pain, diarrhea,4",Pneumonia
"sneezing, insomnia, abdominal pain,3",Heart Disease
"sore throat, rash, muscle pain, vomiting, headache, joint pain, abdominal pain,7",Pneumonia
"shortness of breath, rash, fatigue, cough, depression, joint pain,6",Influenza
"joint pain, nausea, anxiety, shortness of breath,4",Chronic Kidney Disease
"fatigue, insomnia, cough, depression, diarrhea, tremors,6",Epilepsy
"weight gain, shortness of breath, diarrhea,3",Sinusitis
"anxiety, blurred vision, joint pain, fatigue,4",Heart Disease
"nausea, appetite loss, vomiting, rash,4",Migraine
"back pain, fever, fatigue, nausea, abdominal pain,5",Parkinson's
"tremors, blurred vision, diarrhea, nausea, dizziness,5",Thyroid Disorder
"runny nose, headache, fever, insomnia, sneezing,5",Diabetes
"sore throat, nausea, insomnia, swelling, tremors,5",Diabetes
"fever, sneezing, diarrhea, sweating, fatigue, cough, tremors,7",Migraine
"abdominal pain, nausea, swelling, headache,4",Anxiety
"runny nose, sneezing, back pain, rash, weight loss,5",Chronic Kidney Disease
"runny nose, fever, sweating, rash, chest pain,5",Heart Disease
"sneezing, fatigue, shortness of breath, insomnia, abdominal pain, depression, fever,7",Obesity
"rash, sneezing, fever, diarrhea,4",Arthritis
"back pain, sore throat, vomiting, joint pain,4",Food Poisoning
"runny nose, abdominal pain, nausea, shortness of breath, insomnia, rash, dizziness,7",Sinusitis
"vomiting, cough, weight gain, abdominal pain, blurred vision,5",Heart Disease
"weight gain, appetite loss, sweating, rash, chest pain, fatigue,6",Liver Disease
"insomnia, headache, abdominal pain, chest pain, anxiety, weight loss,6",Tuberculosis
"sore throat, appetite loss, chest pain, fever, runny nose,5",Migraine
"fatigue, cough, sneezing, chest pain, fever, muscle pain, rash,7",Anxiety
"rash, chest pain, appetite loss, tremors,4",Heart Disease
"blurred vision, shortness of breath, headache,3",Tuberculosis
"chest pain, diarrhea, cough,3",Dementia
"muscle pain, joint pain, fatigue, shortness of breath, chest pain, anxiety,6",Depression
"appetite loss, weight gain, headache, insomnia, swelling,5",Liver Disease
"vomiting, chest pain, sweating, sore throat, appetite loss, weight gain, depression,7",Liver Disease
"fatigue, headache, abdominal pain, runny nose, blurred vision, dizziness,6",IBS
"rash, muscle pain, runny nose, sweating, swelling, appetite loss,6",Food Poisoning
"sore throat, swelling, headache, anxiety, chest pain, diarrhea,6",Obesity
"weight loss, weight gain, chest pain, cough, joint pain, headache, back pain,7",Tuberculosis
"runny nose, sweating, cough, sore throat, appetite loss, shortness of breath, depression,7",Depression
"weight gain, sneezing, blurred vision, dizziness, tremors,5",Pneumonia
"back pain, blurred vision, cough, sweating, vomiting, abdominal pain, headache,7",Dementia
"chest pain, depression, back pain, fever,4",Asthma
"fatigue, sore throat, fever, headache,4",Anemia
"vomiting, fatigue, sneezing, fever,4",Pneumonia
"fatigue, chest pain, joint pain,3",IBS
"shortness of breath, sweating, anxiety, insomnia, runny nose, swelling, appetite loss,7",Anxiety
"nausea, headache, sweating,3",Allergy
"back pain, blurred vision, weight loss, vomiting, sneezing, tremors, chest pain,7",Diabetes
"rash, insomnia, shortness of breath, joint pain, swelling, blurred vision,6",Dementia
"headache, fever, chest pain, runny nose, fatigue, weight gain,6",Liver Disease
"depression, insomnia, anxiety,3",Chronic Kidney Disease
"back pain, runny nose, shortness of breath, fever, nausea, rash,6",Tuberculosis
"joint pain, abdominal pain, sore throat, nausea, depression, headache, rash,7",Food Poisoning
"shortness of breath, appetite loss, swelling, insomnia,4",Ulcer
"joint pain, sneezing, anxiety, insomnia, nausea, weight gain,6",Bronchitis
"headache, blurred vision, dizziness, weight gain, rash,5",Epilepsy
"fever, tremors, back pain,3",COVID-19
"sneezing, insomnia, dizziness,3",Arthritis
"fatigue, nausea, back pain, joint pain,4",Depression
"shortness of breath, fatigue, cough, back pain, sore throat, runny nose, rash,7",Influenza
"dizziness, fatigue, blurred vision, runny nose,4",Bronchitis
"vomiting, tremors, shortness of breath, sneezing, runny nose, insomnia, chest pain,7",Dementia
"sweating, abdominal pain, appetite loss, vomiting, sore throat, weight gain,6",Diabetes
"cough, appetite loss, headache, fever,4",Pneumonia
"dizziness, nausea, insomnia,3",Stroke
"sweating, vomiting, weight gain, sneezing,4",Migraine
"tremors, headache, appetite loss, sore throat, runny nose, muscle pain, depression,7",Parkinson's
"appetite loss, abdominal pain, chest pain, fatigue,4",COVID-19
"weight loss, dizziness, fever, diarrhea, chest pain, shortness of breath, joint pain,7",Influenza
"chest pain, sore throat, weight loss, weight gain,4",Dermatitis
"joint pain, anxiety, cough, weight loss, blurred vision,5",Epilepsy
"depression, fever, cough, dizziness, muscle pain,5",Bronchitis
"headache, vomiting, weight loss,3",Sinusitis
"diarrhea, sneezing, sore throat,3",Bronchitis
"rash, sore throat, muscle pain,3",Anemia
"sneezing, headache, shortness of breath, back pain, cough, fatigue, swelling,7",Sinusitis
"muscle pain, sneezing, chest pain, appetite loss, tremors,5",Allergy
"weight loss, anxiety, tremors, joint pain,4",Common Cold
"sneezing, cough, joint pain, swelling, appetite loss, blurred vision, headache,7",Common Cold
"fatigue, runny nose, anxiety, rash,4",Stroke
"diarrhea, sore throat, weight gain,3",Liver Disease
"weight gain, cough, appetite loss, fever, back pain, diarrhea, sweating,7",Thyroid Disorder
"chest pain, cough, dizziness, rash,4",Ulcer
"anxiety, joint pain, sneezing, insomnia,4",Chronic Kidney Disease
"weight loss, vomiting, sneezing, blurred vision, back pain,5",COVID-19
"rash, swelling, weight loss, chest pain, tremors,5",Ulcer
"dizziness, blurred vision, weight loss, abdominal pain, fatigue,5",Sinusitis
"sneezing, shortness of breath, sore throat, vomiting, headache, abdominal pain, diarrhea,7",Anemia
"back pain, sweating, appetite loss, headache, cough,5",Pneumonia
"fatigue, fever, sneezing, cough, shortness of breath, back pain,6",Allergy
"cough, shortness of breath, tremors,3",Anxiety
"joint pain, runny nose, cough, diarrhea, vomiting, tremors,6",Common Cold
"insomnia, chest pain, cough,3",Stroke
"swelling, dizziness, shortness of breath, tremors, weight gain, vomiting, fever,7",Bronchitis
"appetite loss, back pain, sweating, swelling, cough, fatigue,6",Dermatitis
"tremors, weight loss, runny nose, muscle pain, weight gain,5",Bronchitis
"joint pain, runny nose, back pain, diarrhea,4",Heart Disease
"sore throat, diarrhea, swelling, weight loss, chest pain,5",Depression
"shortness of breath, rash, tremors, insomnia, appetite loss, depression, anxiety,7",Influenza
"sweating, shortness of breath, tremors, nausea, runny nose,5",Dementia
"cough, rash, sneezing, depression, weight loss, vomiting,6",Common Cold
"anxiety, weight loss, dizziness, sore throat, runny nose,5",COVID-19
"headache, diarrhea, depression, nausea, tremors, anxiety,6",Heart Disease
"nausea, insomnia, abdominal pain,3",Pneumonia
"blurred vision, diarrhea, cough, tremors, shortness of breath, back pain, fever,7",Influenza
"anxiety, diarrhea, rash,3",Anemia
"abdominal pain, sore throat, diarrhea,3",Ulcer
"sore throat, depression, muscle pain, chest pain, headache, fever,6",Food Poisoning
"depression, rash, sneezing, chest pain, anxiety, fever,6",Gastritis
"weight gain, fever, fatigue, anxiety,4",Chronic Kidney Disease
"appetite loss, weight gain, blurred vision, rash, vomiting, joint pain, sweating,7",Anemia
"swelling, depression, sore throat, appetite loss, diarrhea, weight gain,6",Tuberculosis
"weight loss, back pain, fatigue, abdominal pain, cough, anxiety,6",Stroke
"dizziness, shortness of breath, vomiting, weight gain, chest pain, diarrhea,6",Epilepsy
"dizziness, back pain, fatigue, blurred vision, diarrhea, runny nose,6",Asthma
"weight loss, abdominal pain, sore throat, rash, depression,5",COVID-19
"diarrhea, weight gain, headache, weight loss, tremors, muscle pain,6",Ulcer
"shortness of breath, appetite loss, chest pain, dizziness, swelling, fatigue, sore throat,7",Tuberculosis
"sneezing, depression, swelling, vomiting, nausea, runny nose, fever,7",Tuberculosis
"blurred vision, sneezing, back pain, fatigue, headache, cough, muscle pain,7",Heart Disease
"abdominal pain, tremors, joint pain, muscle pain,4",COVID-19
"diarrhea, blurred vision, chest pain, fatigue, dizziness, back pain, weight gain,7",Anemia
"sore throat, back pain, rash,3",Thyroid Disorder
"chest pain, swelling, sneezing, blurred vision, headache, nausea,6",Ulcer
"fever, weight gain, rash, insomnia,4",COVID-19
"nausea, abdominal pain, back pain, weight gain, shortness of breath, fatigue,6",Gastritis
"weight gain, abdominal pain, tremors,3",Gastritis
"swelling, nausea, headache, cough, sweating,5",IBS
"weight gain, anxiety, dizziness, fatigue, rash,5",Epilepsy
"sneezing, runny nose, diarrhea, nausea, chest pain,5",Chronic Kidney Disease
"insomnia, shortness of breath, headache, fatigue,4",Bronchitis
"fever, anxiety, cough, weight loss,4",Obesity
"rash, vomiting, chest pain,3",Migraine
"headache, sweating, runny nose, chest pain, fatigue, blurred vision, back pain,7",Ulcer
"tremors, headache, shortness of breath,3",Heart Disease
"back pain, appetite loss, diarrhea,3",Food Poisoning
"dizziness, shortness of breath, runny nose, depression, back pain, abdominal pain, insomnia,7",Diabetes
"cough, muscle pain, fatigue, blurred vision, appetite loss,5",Anemia
"insomnia, sweating, depression, cough, appetite loss, back pain, fever,7",Anxiety
"insomnia, vomiting, shortness of breath, sneezing,4",IBS
"chest pain, headache, vomiting, depression, sore throat, abdominal pain,6",Thyroid Disorder
"sneezing, weight loss, anxiety,3",Liver Disease
"anxiety, joint pain, depression, weight gain, diarrhea,5",Liver Disease
"chest pain, sweating, diarrhea, insomnia,4",Epilepsy
"rash, weight loss, sneezing, chest pain, fatigue, diarrhea, back pain,7",IBS
"diarrhea, insomnia, muscle pain, fatigue, nausea,5",Ulcer
"blurred vision, joint pain, headache, swelling, sneezing,5",Pneumonia
"fever, chest pain, shortness of breath, abdominal pain,4",Liver Disease
"shortness of breath, insomnia, dizziness, muscle pain, joint pain,5",Stroke
"cough, shortness of breath, sneezing, back pain, diarrhea,5",IBS
"muscle pain, diarrhea, weight gain, nausea, weight loss, vomiting,6",Chronic Kidney Disease
"dizziness, headache, anxiety, weight loss, fever, back pain, joint pain,7",Parkinson's
"sore throat, depression, cough, abdominal pain, vomiting, rash, weight loss,7",Obesity
"chest pain, appetite loss, nausea, rash,4",IBS
"fever, cough, tremors, swelling,4",Stroke
"cough, nausea, chest pain, appetite loss, fever, diarrhea,6",IBS
"back pain, fatigue, sweating, appetite loss, joint pain,5",Influenza
"tremors, sore throat, abdominal pain, back pain, blurred vision,5",Anxiety
"anxiety, headache, fatigue, back pain, weight gain, joint pain, vomiting,7",Common Cold
"muscle pain, abdominal pain, back pain, fever, chest pain,5",Depression
"depression, weight gain, sneezing, joint pain, chest pain,5",Pneumonia
"shortness of breath, sneezing, chest pain, blurred vision, weight loss, abdominal pain, diarrhea,7",Liver Disease
"rash, swelling, weight loss, blurred vision, fatigue, runny nose,6",Thyroid Disorder
"runny nose, rash, sneezing, weight gain,4",IBS
"appetite loss, depression, sore throat, fatigue,4",Gastritis
"weight gain, diarrhea, sore throat, headache, joint pain, anxiety,6",Dermatitis
"swelling, diarrhea, cough, tremors, sneezing, shortness of breath, muscle pain,7",Thyroid Disorder
"blurred vision, weight gain, anxiety, muscle pain, tremors,5",Influenza
"appetite loss, sneezing, weight loss, sweating, dizziness, depression, diarrhea,7",Hypertension
"weight loss, back pain, sweating, sore throat, fatigue, muscle pain, swelling,7",Migraine
"back pain, fatigue, nausea, vomiting, runny nose, sweating, cough,7",Diabetes
"sneezing, headache, back pain, weight loss, muscle pain, joint pain, fever,7",Allergy
"abdominal pain, dizziness, anxiety, rash, weight gain,5",Chronic Kidney Disease
"insomnia, vomiting, appetite loss, anxiety, blurred vision, rash, abdominal pain,7",Chronic Kidney Disease
"dizziness, back pain, tremors, headache,4",Ulcer
"fever, dizziness, muscle pain, nausea, headache, sneezing,6",Anxiety
"vomiting, blurred vision, fatigue, weight loss,4",Anemia
"runny nose, anxiety, nausea, sore throat, rash, depression, weight loss,7",Influenza
"shortness of breath, chest pain, sweating, tremors,4",Common Cold
"anxiety, swelling, joint pain, shortness of breath, weight loss,5",Chronic Kidney Disease
"weight gain, headache, fatigue,3",Hypertension
"weight gain, fatigue, headache, appetite loss, abdominal pain,5",Diabetes
"swelling, weight gain, anxiety, shortness of breath, back pain, appetite loss, insomnia,7",Gastritis
"vomiting, sore throat, appetite loss, anxiety,4",Common Cold
"dizziness, sore throat, cough,3",Migraine
"dizziness, chest pain, abdominal pain, swelling, fatigue, diarrhea,6",Liver Disease
